end,start,task,text,video_id
262,211,127,place the filling and cheese on the tortilla and roll the burrito,EjHxMfOdl1k
100,32,219,put the thinly sliced cabbage in a jar,MIXkGU4TJp0
141,105,219,add sugar salt and vinegar to the jar,MIXkGU4TJp0
207,150,219,fill the jar with boiling water and place the lid on the jar,MIXkGU4TJp0
175,135,304,trim fat from pork and cut it to slices,Ap3g0IRcjzU
179,176,304,season with a little salt and pepper,Ap3g0IRcjzU
209,180,304,cut one green onion into 1 inch size,Ap3g0IRcjzU
225,214,304,cut a red onion into strips,Ap3g0IRcjzU
242,226,304,chop a chinese broccoli to half inch pieces,Ap3g0IRcjzU
267,245,304,cut the mushroom into thin slices,Ap3g0IRcjzU
290,274,304,combine soy sauce water and sugar in a bowl,Ap3g0IRcjzU
323,299,304,boil some udon noodles in water,Ap3g0IRcjzU
362,345,304,boil the chinese broccoli and drain it,Ap3g0IRcjzU
411,372,304,fry the pork with oil and the green onion red onion carrot mushroom and chinese broccoli,Ap3g0IRcjzU
419,412,304,add the udon noodles and cook,Ap3g0IRcjzU
449,425,304,add the premade sauce and stir,Ap3g0IRcjzU
80,47,202,fry oil onions herbs and vegetables in a pan,7nH0Y3agsas
89,81,202,pour water into the pan,7nH0Y3agsas
97,90,202,mix everything and let it cook,7nH0Y3agsas
126,98,202,add potatoes cabbage and pasta to the pan and stir,7nH0Y3agsas
173,129,202,add flour mixture tomatoes herbs and seasoning to the pan and stir,7nH0Y3agsas
187,182,202,garnish with parsley,7nH0Y3agsas
114,85,325,cut tofu into strips,wXA-1ZmvuEA
202,120,325,add oil ginger bean paste chilli paste mushroom green onion chicken lily and vegetable stock to a pot,wXA-1ZmvuEA
304,225,325,add soy sauce vinegar black pepper and sliced tofu,wXA-1ZmvuEA
365,338,325,add cornstarch and water and stir,wXA-1ZmvuEA
395,375,325,add egg and sesame oil,wXA-1ZmvuEA
82,72,419,add baking powder salt and flour to a bowl and mix,Kbrkj7wZ4UA
98,85,419,add melted butter yogurt minced garlic coriander leaves to the bowl and mix,Kbrkj7wZ4UA
112,99,419,add water to the bowl and knead the dough,Kbrkj7wZ4UA
140,113,419,sprinkle dry flour and knead the dough,Kbrkj7wZ4UA
166,160,419,wrap the dough in plastic wrap,Kbrkj7wZ4UA
293,235,419,roll a ball of dough into a thin shape,Kbrkj7wZ4UA
333,317,419,pat the naan with water and place on a hot pan,Kbrkj7wZ4UA
346,343,419,flip the naan to the other side and cover the lid,Kbrkj7wZ4UA
358,352,419,remove the naan from the pan place in a plate and rub butter on it,Kbrkj7wZ4UA
33,21,104,add the lobster to a pan,pluBtIfxUvE
67,58,104,pour eggs on the lobster,pluBtIfxUvE
150,73,104,move the eggs in the pan,pluBtIfxUvE
170,152,104,place the scrambled eggs on a plate with toast,pluBtIfxUvE
38,24,323,rinse the quinoa with water,pOP5Zzm19kc
57,41,323,add quinoa water and salt to a pot,pOP5Zzm19kc
82,71,323,slice and dice the ham into cubes,pOP5Zzm19kc
137,101,323,fry the ham peppers and onions in a pan,pOP5Zzm19kc
147,140,323,add garlic to the pan,pOP5Zzm19kc
186,175,323,add the quinoa the the pan,pOP5Zzm19kc
216,195,323,add rice vinegar soy sauce and sriracha to the pan,pOP5Zzm19kc
231,221,323,add green onion to the pan,pOP5Zzm19kc
20,14,318,put chopped green onions in a bowl,dxSSb3tv5ZM
41,32,318,blend some pear with garlic,dxSSb3tv5ZM
61,43,318,add brown sugar to the green onion,dxSSb3tv5ZM
117,70,318,combine soy sauce mirin rice vinegar and honey,dxSSb3tv5ZM
127,120,318,add some ground pepper to the green onions,dxSSb3tv5ZM
150,130,318,pour the combined liquid and the blended pear to the green onion bowl,dxSSb3tv5ZM
161,153,318,stir the ingredients,dxSSb3tv5ZM
170,164,318,pour in a little sesame oil,dxSSb3tv5ZM
213,191,318,marinate the beef,dxSSb3tv5ZM
256,226,318,cook the marinated beef on a pan,dxSSb3tv5ZM
52,35,108,put cake flour sugar corn starch baking powder and salt in a bowl and sift them together,acMP2DOpWeA
57,53,108,mix the bowl well with a whisk,acMP2DOpWeA
62,58,108,beat one egg in a bowl,acMP2DOpWeA
69,63,108,add milk to the bowl and mix well,acMP2DOpWeA
86,71,108,add the dry ingredients and mix until well blended,acMP2DOpWeA
93,87,108,add cooking oil and mix the bowl,acMP2DOpWeA
97,94,108,cover the bowl with plastic wrap,acMP2DOpWeA
104,100,108,heat a nonstick pan over medium heat,acMP2DOpWeA
115,105,108,place the pan on a wet towel turn off the stove and place the pan back on the stove,acMP2DOpWeA
123,116,108,pour the batter onto the pan,acMP2DOpWeA
132,124,108,flip the pancake when bubbles appear,acMP2DOpWeA
136,133,108,cook until the other side of the pancake is brown,acMP2DOpWeA
142,139,108,place a piece of butter on the pancakes and pour some maple syrup,acMP2DOpWeA
36,30,102,mix 3 types of flour to a bowl,Gs3OGfQbPjc
54,37,102,add 1 egg 1/2 cup of water salt and sugar and mix,Gs3OGfQbPjc
68,57,102,cut an onion to rings,Gs3OGfQbPjc
97,83,102,coat the onion rings in the liquid mixture and then in bread crumb,Gs3OGfQbPjc
130,103,102,fry the onion rings in shallow oil,Gs3OGfQbPjc
62,40,413,place pieces of pork shoulder dark and light soy sauce chinese rice wine cinnamon sticks and water to a pot,_bICKhr9AGo
85,63,413,boil and remove the foam,_bICKhr9AGo
106,95,413,add vinegar sugar and salt to a bowl and mix,_bICKhr9AGo
120,108,413,add carrot and daikon to the bowl and stir,_bICKhr9AGo
150,142,413,add sugar to the pork and stir,_bICKhr9AGo
162,154,413,add the pork simmering liquid and fish sauce to a bowl,_bICKhr9AGo
173,167,413,drain the carrot and daikon pickle,_bICKhr9AGo
190,178,413,slice the pork into thin slices,_bICKhr9AGo
209,198,413,slice a baguette lengthwise and spread mayonnaise,_bICKhr9AGo
231,213,413,spread pate on the bread,_bICKhr9AGo
295,235,413,add lettuce leaves pickled vegetables cucumber scallions cilantro jalapeno and pork to the bread,_bICKhr9AGo
301,297,413,add the simmering mixture and fish sauce to the sandwich,_bICKhr9AGo
318,314,413,add pork floss to the sandwich,_bICKhr9AGo
152,136,418,boil chick peas in pressure cooker with ginger,dxK5n3J9pdY
198,178,418,add oil and green chilies to pan,dxK5n3J9pdY
230,208,418,remove chilies and add cumin seeds and chick pea flour,dxK5n3J9pdY
264,240,418,add blended tomatoes to pan and stir,dxK5n3J9pdY
284,274,418,add coriander powder black salt and green chilis,dxK5n3J9pdY
304,298,418,add salt and black salt,dxK5n3J9pdY
324,307,418,add chick peas to pan and cover,dxK5n3J9pdY
364,345,418,add ground masala machu powder and water,dxK5n3J9pdY
78,5,425,mix the maida rice flour suji curry leaves salt cumin seeds and hing,pOWe4zB-E-4
114,78,425,add the water ginger and chilis to the mixture,pOWe4zB-E-4
150,130,425,add black pepper and grated coconut,pOWe4zB-E-4
162,155,425,add milk to the dough,pOWe4zB-E-4
205,190,425,spread the batter in the pan,pOWe4zB-E-4
228,218,425,add oil to the edges,pOWe4zB-E-4
235,228,425,flip the dosa over,pOWe4zB-E-4
256,244,425,place the potato mixture on the dosa,pOWe4zB-E-4
263,256,425,fold the dosa over,pOWe4zB-E-4
71,50,219,chop a big cabbage,zEdAA9Oxpdw
112,78,219,heat a pan with oil and saute the chopped cabbage,zEdAA9Oxpdw
150,114,219,add some cider vinegar and saute the cabbage,zEdAA9Oxpdw
203,151,219,add salt ground mustard seed brown sugar and stir,zEdAA9Oxpdw
68,58,215,chop a stalk of parsley,7Ui4OCsawAU
85,69,215,finely chop a few cloves of garlic,7Ui4OCsawAU
100,89,215,finely chop a few hot peppers,7Ui4OCsawAU
139,124,215,cut a stick of butter into thin slices and add to the vegetables,7Ui4OCsawAU
180,140,215,add salt black pepper and breadcrumbs to the bowl and mix together,7Ui4OCsawAU
208,181,215,add the butter mixture to empty shells,7Ui4OCsawAU
224,217,215,add the escargot inside the shells,7Ui4OCsawAU
230,225,215,put the butter mixture on top of the escargot,7Ui4OCsawAU
290,283,215,dip an escargot into the breadcrumbs,7Ui4OCsawAU
338,314,215,pour some water into a tray and place the escargot onto it and place in the oven,7Ui4OCsawAU
379,355,215,remove the escargot from the oven and place on a plate,7Ui4OCsawAU
408,395,215,place pieces of garlic bread on the plate with the escargot,7Ui4OCsawAU
100,78,405,combine chilies black pepper coriander cumin fenugreek seeds cardamom and a cinnamon stick and blend into a powder,frCFxOt9390
119,101,405,add chopped garlic chopped ginger and chopped onion,frCFxOt9390
124,121,405,add white vinegar and brown vinegar and mix,frCFxOt9390
136,128,405,add brown sugar salt paprika and canned tomatoes,frCFxOt9390
158,144,405,add the spice powder to it and blend,frCFxOt9390
166,159,405,heat up a pot on the grill with ghee and lamb,frCFxOt9390
195,167,405,pour in the sauce stir and cover the pot,frCFxOt9390
214,198,405,open the lid stir close the lid and move the pot from the direct heat,frCFxOt9390
222,220,405,cover the grill and cook,frCFxOt9390
236,224,405,stir the pot,frCFxOt9390
245,239,405,replace the lid on the grill and cook,frCFxOt9390
40,25,221,trim the fat off of some beef and place in a slow cooker,HXqC_xWsKkY
53,41,221,crush caraway seeds with a mortar and pastel and pour into a small bowl,HXqC_xWsKkY
64,54,221,add paprika salt and pepper to the caraway seeds,HXqC_xWsKkY
73,65,221,sprinkle the spices over the beef cubes and stir,HXqC_xWsKkY
89,77,221,add a large onion and bell pepper to the beef,HXqC_xWsKkY
114,92,221,add diced tomatoes beef broth worcester sauce and minced garlic to a pan and stir,HXqC_xWsKkY
129,115,221,pour the tomatoes into the slow cooker and place two bay leaves on top,HXqC_xWsKkY
139,131,221,turn on the slow cooker on high for four hours,HXqC_xWsKkY
164,152,221,mix corn starch and water in a bowl and stir with the stew,HXqC_xWsKkY
65,48,319,cook the meat in a pan,_XxXWiOoyhY
74,67,319,cook the spinach in a steamer,_XxXWiOoyhY
95,80,319,cook the mushrooms in a pan,_XxXWiOoyhY
115,103,319,cook the bean sprouts in a pan,_XxXWiOoyhY
132,121,319,cook the carrots in a pan,_XxXWiOoyhY
172,135,319,combine gochujang soy sauce vinegar sesame seeds oil garlic and honey,_XxXWiOoyhY
231,203,319,blend cilantro garlic lime juice and oil,_XxXWiOoyhY
241,233,319,poach the egg in water,_XxXWiOoyhY
313,248,319,place the bean sprouts cucumber carrots mushrooms spinach and meat on the rice,_XxXWiOoyhY
345,324,319,add cilantro and gochujang sauce,_XxXWiOoyhY
365,348,319,place the egg on top,_XxXWiOoyhY
83,61,124,place chicago hot dogs on the grills and cook for few minutes,qOB709GWcE8
133,129,124,remove the cooked sausages on a plate,qOB709GWcE8
173,167,124,put hot water in bowl place sieve on put poppy seed buns inside cover with towel to make buns softer,qOB709GWcE8
197,181,124,cut the buns place the grilled dogs inside squeeze some mustard sauce on it,qOB709GWcE8
219,199,124,now spread green relish and then add chopped white onions on it,qOB709GWcE8
239,220,124,place slices of tomato in the edges and pickle and 2 pepper on top,qOB709GWcE8
246,244,124,lastly top with celery salt and serve,qOB709GWcE8
92,78,311,mix water salt and sugar,-xbTvALWCIg
104,94,311,soak the salmon in the brine,-xbTvALWCIg
127,121,311,add olive oil and the fish to a bag,-xbTvALWCIg
175,153,311,cook the salmon in the bag,-xbTvALWCIg
248,182,311,separate the salmon into pieces,-xbTvALWCIg
271,262,311,spread the soy air on the plate,-xbTvALWCIg
292,271,311,place the avocado and salmon on the plate,-xbTvALWCIg
39,32,228,open the can of chickpeas and drain,UA7wqVe8Kpo
58,43,228,chop up garlic in a food processor,UA7wqVe8Kpo
106,58,228,add chickpeas lemon juice olive oil and water to food processor and blend,UA7wqVe8Kpo
126,106,228,add black pepper and salt and stir,UA7wqVe8Kpo
38,13,109,add flour pepper and salt to a bowl and mix,Moh7iYf2rGo
60,39,109,add the chicken and cover with flour,Moh7iYf2rGo
137,60,109,add barbecue sauce honey onion powder hickory seasoning to another bowl and mix together,Moh7iYf2rGo
171,153,109,add the chicken to the fryer,Moh7iYf2rGo
206,171,109,put the chicken into bowl of sauce and mix,Moh7iYf2rGo
36,24,421,heat pan with oil and add garlic paste,z_ZHVTqbSZo
56,37,421,add green chili and coriander seeds cook on medium heat,z_ZHVTqbSZo
75,58,421,add chopped onions and fry until brown,z_ZHVTqbSZo
96,78,421,add red chili powder red chili flakes and mix well,z_ZHVTqbSZo
112,97,421,add one cup of water,z_ZHVTqbSZo
121,113,421,add some salt and mashed potatos,z_ZHVTqbSZo
152,132,421,mix flour salt and oil in a bowl adding water slowly to form a dough,z_ZHVTqbSZo
188,154,421,make small rolls of dough and roll into circle and cut in half,z_ZHVTqbSZo
240,189,421,fold into cone shape and fill with potato mix and pinch top closed,z_ZHVTqbSZo
261,241,421,heat oil in pot and deep fry then serve,z_ZHVTqbSZo
16,12,412,add water to rice,GmWb7W7m2vs
30,20,412,drain the water and boil it in pressure cooker,GmWb7W7m2vs
55,20,412,add olive oil lemon juice salt and rice,GmWb7W7m2vs
74,60,412,add the lid and cook the rice,GmWb7W7m2vs
127,108,412,add spices to the chicken,GmWb7W7m2vs
135,127,412,mix the chicken,GmWb7W7m2vs
155,145,412,put chicken pieces onto frying pan,GmWb7W7m2vs
175,170,412,put lid on the frying pan,GmWb7W7m2vs
197,190,412,beat one egg in a bowl,GmWb7W7m2vs
221,200,412,add ginger garlic and onions,GmWb7W7m2vs
296,290,412,add the fried chicken pieces to the pan,GmWb7W7m2vs
312,301,412,add soy sauce and chili garlic sauce,GmWb7W7m2vs
341,330,412,add the cooked rice,GmWb7W7m2vs
381,352,412,add pepper vinegar and salt,GmWb7W7m2vs
85,78,229,soak chickpeas with water,2p_h3s1CPoc
123,98,229,drain and blend the chickpeas,2p_h3s1CPoc
157,138,229,add parsley coriander chili garlic and some blended chickpeas to the blender,2p_h3s1CPoc
162,160,229,blend the ingredients,2p_h3s1CPoc
169,165,229,mix the blended mixture with the blended chickpeas,2p_h3s1CPoc
189,172,229,add flour cumin crushed coriander seeds baking soda and a little salt and pepper,2p_h3s1CPoc
194,190,229,mix all the ingredients,2p_h3s1CPoc
209,201,229,heat some oil in a pan,2p_h3s1CPoc
220,210,229,form the falafel balls,2p_h3s1CPoc
245,236,229,add the falafel balls to the oil,2p_h3s1CPoc
263,255,229,remove the balls and drain with paper towel,2p_h3s1CPoc
24,21,117,heat the pan,DXYCXcuifM8
34,25,117,crack an egg into the bowl,DXYCXcuifM8
43,39,117,add oil to the pan,DXYCXcuifM8
56,44,117,pour the egg and add a pinch of salt and red chili powder,DXYCXcuifM8
77,57,117,add some chopped chilies some chopped tomatoes chopped coriander leaves and some grated cheese,DXYCXcuifM8
95,78,117,flip the egg and cook the other side,DXYCXcuifM8
109,106,117,place the cooked egg on toast,DXYCXcuifM8
74,60,309,heat up a bowl of shredded cabbage and water drain it run under cold water and remove excess water,UfWND-lc4sc
81,75,309,add green onion garlic ginger sugar shaoxing wine soy sauce and corn starch to a bowl of ground beef,UfWND-lc4sc
85,82,309,mix the bowl of ground beef by hand,UfWND-lc4sc
93,88,309,add the cabbage to the beef and mix by hand,UfWND-lc4sc
102,94,309,wet the edges of a potsticker,UfWND-lc4sc
140,103,309,add the meat mixture to the center of the wrapper fold in half and close,UfWND-lc4sc
154,144,309,add peanut oil to a pan and spread,UfWND-lc4sc
164,155,309,add the potstickers to the pan and pour hot water over them,UfWND-lc4sc
31,20,210,grate the potato and onion,y-Jxli-JfPg
43,37,210,squeeze water out of the potatos with a towel,y-Jxli-JfPg
63,46,210,mix an egg salt and pepper with the potatos,y-Jxli-JfPg
79,63,210,mix flour with the potato mixture,y-Jxli-JfPg
88,80,210,add oil to a pan,y-Jxli-JfPg
108,94,210,place dollops of batter onto the pan and flatten,y-Jxli-JfPg
111,108,210,flip the pancakes when the edges turn brown,y-Jxli-JfPg
87,75,403,ground some roasted peanuts and put aside,C_6yMh3tEQk
222,177,403,add cooking oil in a pan and cook the tofu chunks in it,C_6yMh3tEQk
278,249,403,add 1 clove of chopped garlic and 1 small chopped shallot after tofu turns brown,C_6yMh3tEQk
329,292,403,add some soaked rice noodles and add water to soften it,C_6yMh3tEQk
343,340,403,add pad thai sauce,C_6yMh3tEQk
362,354,403,add sugar and fish sauce,C_6yMh3tEQk
431,389,403,add some shrimp and bean sprouts and continue stirring,C_6yMh3tEQk
477,452,403,add cooking oil and beat an egg,C_6yMh3tEQk
501,492,403,put the grounded peanuts on top of the noodles,C_6yMh3tEQk
151,140,109,combine seasoned bread crumbs with flour,7-WEdqJBXoQ
167,152,109,beat an egg and dip the chicken in it,7-WEdqJBXoQ
188,173,109,coat the chicken with the bread crumb powder and lay them on a baking pan,7-WEdqJBXoQ
255,228,109,spread some salt black pepper and butter on each piece of chicken,7-WEdqJBXoQ
382,334,109,bake the chicken in the oven,7-WEdqJBXoQ
48,44,117,boil a pot of water,DDRzeomsyzU
67,50,117,add an egg oil vinegar to a bowl and mix,DDRzeomsyzU
80,73,117,place the bowl above the boiling water,DDRzeomsyzU
92,87,117,place pieces of bread in an oven,DDRzeomsyzU
109,104,117,poach an egg and place onto paper towel,DDRzeomsyzU
138,110,117,place bacon and egg onto the bread and top with the sauce,DDRzeomsyzU
132,90,421,add flour salt and oil and mix into a dough,Krmi9Is522c
205,156,421,add oil cumin seeds ginger garlic green chilies turmeric powder green peas and water,Krmi9Is522c
219,207,421,cook with the lid and add salt,Krmi9Is522c
258,236,421,add the mashed potatoes and garam masala and mix,Krmi9Is522c
282,269,421,add in the dry mango powder and chopped coriander leaves,Krmi9Is522c
360,331,421,roll and cut the dough,Krmi9Is522c
491,368,421,apply water to the edges make a cone stuff it with the filling and seal it,Krmi9Is522c
539,499,421,heat oil in a pan and deep fry the samosas,Krmi9Is522c
8,5,117,add eggs to a bowl and whisk,1k64hSAAAd4
14,8,117,add milk garlic powder salt and pepper,1k64hSAAAd4
17,15,117,spread butter on the dish,1k64hSAAAd4
21,17,117,add pieces of english muffin and ham to the dish,1k64hSAAAd4
25,21,117,pour the egg mixture over the dish,1k64hSAAAd4
29,27,117,bake the dish in the oven,1k64hSAAAd4
34,30,117,mix egg yolks and lemon juice,1k64hSAAAd4
47,36,117,mix butter cayenne pepper and salt with the sauce,1k64hSAAAd4
51,47,117,pour the sauce over the dish,1k64hSAAAd4
54,51,117,sprinkle paprika and parsley on top,1k64hSAAAd4
52,47,216,place a skillet of sausages on the grill,ffoRmenLSLs
68,58,216,cover the grill and cook the sausges,ffoRmenLSLs
104,69,216,flip the bratwursts over,ffoRmenLSLs
137,128,216,place the sausages on the grill,ffoRmenLSLs
68,43,418,put maida in a deep bowl add sooji baking soda salt and mix well,Vi9BxQvpdpQ
86,71,418,add yogurt and mix well,Vi9BxQvpdpQ
98,84,418,add water and start to knead in to stiff dough,Vi9BxQvpdpQ
142,101,418,once dough is ready cover and keep it to rest for 4 hours,Vi9BxQvpdpQ
181,160,418,heat up oil add cumin seeds onion and cook until onion gets golden brown,Vi9BxQvpdpQ
200,185,418,add ginger garlic paste and cook,Vi9BxQvpdpQ
236,205,418,add chana masala and cook for 2 minutes,Vi9BxQvpdpQ
270,243,418,add tomatoes red chilli powder mix cover and cook for 5 minutes,Vi9BxQvpdpQ
348,294,418,add soaked chana salt water cover and pressure cook,Vi9BxQvpdpQ
405,381,418,after 4 hours divide dough in small balls,Vi9BxQvpdpQ
461,420,418,deep fry until gets golden color from both sides,Vi9BxQvpdpQ
102,53,305,peel and cut the radish,3r8A4xCZgPQ
110,103,305,wash the radish,3r8A4xCZgPQ
130,115,305,spread salt onto the radish,3r8A4xCZgPQ
193,189,305,drain and rinse the radish,3r8A4xCZgPQ
213,196,305,mix red chili sugar garlic fish sauce and scallians with the radish,3r8A4xCZgPQ
102,75,120,in a large skillet add olive oil and melt the butter,nqyO0ovASOg
158,102,120,add chopped potatoes and cook them in the skillet for 10 mins,nqyO0ovASOg
220,158,120,add onions red pepper salt and black pepper to the potatoes and cook for 5 minutes,nqyO0ovASOg
260,220,120,sprinkle some garlic and parsley and cook the potatoes for 1-2 mins,nqyO0ovASOg
53,30,301,add sugar rice wine soy sauce salt chili oil chili powder and chicken stock to a bowl,0hVAuvPAIzA
86,60,301,chop garlic ginger and green onions and red chilies,0hVAuvPAIzA
117,87,301,trim away chicken fat and cut meat into pieces,0hVAuvPAIzA
139,120,301,add chicken salt rice wine soy sauce to a bowl and mix,0hVAuvPAIzA
148,140,301,add corn starch and mix,0hVAuvPAIzA
155,147,301,add oil and mix,0hVAuvPAIzA
184,165,301,add oil dried chilies and chicken to the wok,0hVAuvPAIzA
204,198,301,add garlic green onions and ginger,0hVAuvPAIzA
213,209,301,add sauce to the wok,0hVAuvPAIzA
235,229,301,add roasted peanuts to wok and mix,0hVAuvPAIzA
241,236,301,add black vinegar and stir the wok,0hVAuvPAIzA
25,14,120,boil the potatoes until it is half done then peel the skin and grate,PKt_za_XfF8
39,29,120,heat butter in a pan,PKt_za_XfF8
51,41,120,add finely chopped onions into the melted butter and salt till it gets brown,PKt_za_XfF8
65,54,120,put grated potatoes in a bowl and pour salted onions into it,PKt_za_XfF8
92,67,120,add 1 tsp salt black pepper powder little crushed nutmeg and finely chopped parsley and mix all the ingredients well,PKt_za_XfF8
122,104,120,grease a baking tray with butter or oil and put the mixture on it and spread evenly,PKt_za_XfF8
133,124,120,spread some butter on top of the evenly spread potato mash and season with black pepper powder,PKt_za_XfF8
144,141,120,bake it in a preheated oven for 10  15 minutes at 200 degree and serve,PKt_za_XfF8
110,73,419,add flour into mixing bowl with salt baking powder yeast sugar,L-NOPLU4JOQ
133,117,419,add yogurt to mixing bowl,L-NOPLU4JOQ
153,135,419,add warm milk and knead dough,L-NOPLU4JOQ
170,167,419,cover the dough,L-NOPLU4JOQ
213,200,419,knead the dough,L-NOPLU4JOQ
227,214,419,break dough into equal size balls,L-NOPLU4JOQ
277,260,419,roll balls flat on surface,L-NOPLU4JOQ
294,277,419,add garlic and coriander leaves to dough,L-NOPLU4JOQ
320,295,419,place the dough on the skillet and fry,L-NOPLU4JOQ
352,311,419,remove from skillet and place in oven,L-NOPLU4JOQ
380,358,419,pat with butter and serve,L-NOPLU4JOQ
67,11,105,cut off the wing tips from a chicken disjoint the body into pieces and cut the breasts in pieces,uxEhH6MPH28
84,68,105,place the chicken in a bowl and add black pepper salt paprika dried herbs white pepper and cayenne and stir,uxEhH6MPH28
96,85,105,pour buttermilk into the bowl and stir,uxEhH6MPH28
112,97,105,add salt paprika cayenne garlic powder white pepper and onion powder to a tray of flour,uxEhH6MPH28
134,113,105,coat the chicken in the seasoned flour,uxEhH6MPH28
156,135,105,fry the chicken into a pot of boiling oil,uxEhH6MPH28
205,197,105,transfer the chicken from the pot to a rack,uxEhH6MPH28
52,41,120,squeeze the potatoes,aCZPq6uRZa4
56,53,120,add the hash browns and flour to a bowl,aCZPq6uRZa4
75,56,120,add salt pepper garlic powder and an egg to the bowl,aCZPq6uRZa4
79,75,120,mix the ingredients in the bowl together,aCZPq6uRZa4
111,90,120,fry the hash browns in a pan,aCZPq6uRZa4
65,56,113,spread the butter on two toast,xHuaYMXGTnc
88,68,113,slice a thin slice of the cheese,xHuaYMXGTnc
102,90,113,heat a pan and put the toast in it,xHuaYMXGTnc
115,106,113,put the cheese slice on top and then the other piece of toast on top,xHuaYMXGTnc
150,125,113,flip it when the bottom is golden,xHuaYMXGTnc
165,154,113,take it out to serve when the other side is also done,xHuaYMXGTnc
47,35,324,crush chilis coriander stalks and shallots,IqD6qnug7tc
62,47,324,cook the noodles in boiling water,IqD6qnug7tc
73,66,324,add a chicken stock cube to boiling water,IqD6qnug7tc
89,73,324,add lemongrass galangal crushed vegetables and tomatoes,IqD6qnug7tc
109,90,324,add chili paste lime leaves fish sauce and lime juice,IqD6qnug7tc
125,111,324,add the seafood and mushrooms,IqD6qnug7tc
132,125,324,add evaporated milk and stir,IqD6qnug7tc
145,136,324,add the soup to a bowl of noodles,IqD6qnug7tc
110,51,216,cut the onions into  inch slices,a3ZvOvo49WE
208,115,216,add olive oil on the iron pan and sear the bratwurst,a3ZvOvo49WE
247,214,216,add the onions onto the pan covering the bratwurst,a3ZvOvo49WE
266,248,216,pour some german beer over the onions,a3ZvOvo49WE
300,267,216,remove the pan off the coal heat and close the grill lid and let it cook indirectly for about half an hour,a3ZvOvo49WE
